"","yr","prop.ovlp"
"1",1980,0.3216
"2",1981,0.3215
"3",1982,0.3888
"4",1983,0.3622
"5",1984,0.3768
"6",1985,0.3836
"7",1986,0.3446
"8",1987,0.3534
"9",1988,0.4024
"10",1989,0.3477
"11",1990,0.3916
"12",1991,0.3971
"13",1992,0.4145
"14",1993,0.3559
"15",1994,0.3778
"16",1995,0.3219
"17",1996,0.3344
"18",1997,0.3066
"19",1998,0.306
"20",1999,0.3139
"21",2000,0.337
"22",2001,0.3203
"23",2002,0.3722
"24",2003,0.3134
"25",2004,0.3558
"26",2005,0.3223
"27",2006,0.3148
"28",2007,0.3321
"29",2008,0.3168
"30",2009,0.2862
"31",2010,0.3231
"32",2011,0.3525
"33",2012,0.3054
"34",2013,0.3026
